flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
6,6,26289,35939,0,0,1
6,6,64024,54217,0,0,1
6,6,64024,54217,0,0,1
6,6,18968,1038,0,0,1
6,6,18968,1038,0,0,1
5,6,14847,29486,0,0,1
5,6,14847,29486,0,0,1
5,6,62437,63921,0,0,1
5,6,62437,63921,0,0,1
5,6,28633,12797,0,0,1
5,6,28633,12797,0,0,1
5,6,16088,46179,0,0,1
5,6,16088,46179,0,0,1
5,6,55019,26949,0,0,1
5,6,55019,26949,0,0,1
5,6,41458,25418,0,0,1
5,6,41458,25418,0,0,1
5,6,20480,15297,0,0,1
5,6,20480,15297,0,0,1
4,6,4821,41571,0,0,1
4,6,4821,41571,0,0,1
4,6,24848,10305,0,0,1
4,6,24848,10305,0,0,1
4,6,14009,49369,0,0,1
4,6,14009,49369,0,0,1
4,6,55542,4343,0,0,1
4,6,55542,4343,0,0,1
4,6,37385,17799,0,0,1
4,6,37385,17799,0,0,1
4,6,6048,58551,0,0,1
4,6,6048,58551,0,0,1
3,6,8069,97,0,0,1
3,6,8069,97,0,0,1
3,6,22876,39712,0,0,1
3,6,22876,39712,0,0,1
3,6,35010,45587,0,0,1
3,6,35010,45587,0,0,1
3,6,50920,53944,0,0,1
3,6,50920,53944,0,0,1
3,6,28175,51940,0,0,1
3,6,28175,51940,0,0,1
3,6,61351,47845,0,0,1
3,6,61351,47845,0,0,1
3,6,3912,59687,0,0,1
3,6,3912,59687,0,0,1
2,6,55588,41732,0,0,1
2,6,55588,41732,0,0,1
2,6,11029,61972,0,0,1
2,6,11029,61972,0,0,1
2,6,12233,49696,0,0,1
2,6,12233,49696,0,0,1
2,6,31212,25345,0,0,1
2,6,31212,25345,0,0,1
2,6,35561,50649,0,0,1
2,6,35561,50649,0,0,1
2,6,9421,42901,0,0,1
2,6,9421,42901,0,0,1
2,6,14657,49347,0,0,1
2,6,14657,49347,0,0,1
1,6,36683,34699,0,0,1
1,6,36683,34699,0,0,1
1,6,3777,47295,0,0,1
1,6,3777,47295,0,0,1
1,6,41763,40930,0,0,1
1,6,41763,40930,0,0,1
1,6,58816,35770,0,0,1
1,6,58816,35770,0,0,1
1,6,4464,56046,0,0,1
1,6,4464,56046,0,0,1
1,6,13081,6644,0,0,1
1,6,13081,6644,0,0,1
0,6,60062,34417,0,0,1
0,6,60062,34417,0,0,1
0,6,64330,9882,0,0,1
0,6,64330,9882,0,0,1
0,6,49681,27629,0,0,1
0,6,49681,27629,0,0,1
0,6,9123,10746,0,0,1
0,6,9123,10746,0,0,1
0,6,48031,42030,0,0,1
0,6,48031,42030,0,0,1
0,6,17612,63446,0,0,1
0,6,17612,63446,0,0,1
0,6,6309,27023,0,0,1
0,6,6309,27023,0,0,1
10,6,6706,46287,0,0,1
9,6,6706,46287,0,0,1
9,6,60166,63855,0,0,1
9,6,60166,63855,0,0,1
9,6,14809,50364,0,0,1
9,6,14809,50364,0,0,1
9,6,57205,31332,0,0,1
9,6,57205,31332,0,0,1
9,6,1271,9896,0,0,1
9,6,1271,9896,0,0,1
9,6,54884,5498,0,0,1
9,6,54884,5498,0,0,1
9,6,16706,35058,0,0,1
9,6,16706,35058,0,0,1
8,6,63776,40625,0,0,1
8,6,63776,40625,0,0,1
8,6,39839,345,0,0,1
8,6,39839,345,0,0,1
8,6,49813,41624,0,0,1
8,6,49813,41624,0,0,1
8,6,34913,33890,0,0,1
8,6,34913,33890,0,0,1
8,6,43777,15793,0,0,1
8,6,43777,15793,0,0,1
8,6,57023,59222,0,0,1
8,6,57023,59222,0,0,1
8,6,52704,36284,0,0,1
7,6,52704,36284,0,0,1
7,6,40663,54761,0,0,1
7,6,40663,54761,0,0,1
7,6,22097,4980,0,0,1
7,6,22097,4980,0,0,1
7,6,45018,21598,0,0,1
7,6,45018,21598,0,0,1
7,6,30647,46864,0,0,1
7,6,30647,46864,0,0,1
7,6,32283,27524,0,0,1
7,6,32283,27524,0,0,1
7,6,52972,27490,0,0,1
7,6,52972,27490,0,0,1
7,6,7445,53734,0,0,1
6,6,7445,53734,0,0,1
